category,description,date,title
POLITIQUE,"Le candidat écologiste à l’élection présidentielle a défendu vendredi matin cette « mesure d’urgence ». Il a également plaidé pour le développement des lignes de covoiturage, l’accélération de la rénovation thermique et suggéré des réductions de vitesse.",2022-04-01 11:43:51 +0200,"Yannick Jadot propose la gratuité des transports en commun « locaux » pendant six mois, sur fond de hausse des prix de l’énergie et de guerre en Ukraine"
POLITIQUE,"Emmanuel Macron et ses partisans critiquent avec virulence, depuis jeudi, la stratégie de « dédiabolisation » de l’extrême droite à l’approche de l’élection présidentielle.",2022-04-01 11:54:27 +0200,Marine Le Pen fait preuve de démagogie selon Jean Castex ; Anne Hidalgo convaincue que le « PS se relèvera » d’un échec à la présidentielle… L’actualité politique en direct
POLITIQUE,Les cadres de l’administration voient dans le recours accru aux cabinets de conseil un témoignage supplémentaire de la défiance à leur égard.,2022-04-01 12:00:16 +0200,Affaire McKinsey : l’amertume des hauts fonctionnaires
POLITIQUE,"Dans cette résidence autonomie, les habitants affichent leur bonheur d’être ensemble et déplorent le désintérêt des candidats à la présidentielle pour cette alternative aux Ehpad ou au maintien à domicile.",2022-04-01 12:13:09 +0200,"Les seniors de la résidence La Haie Vigné, à Caen, iront voter sans enthousiasme"
POLITIQUE,La ristourne concerne les particuliers comme les professionnels sur tout le territoire français.,2022-04-01 12:16:00 +0200,Prix des carburants : la remise à la pompe allant jusqu’à 18 centimes entre en vigueur
POLITIQUE,"Pour ce numéro marquant sa première année d’existence, le trimestriel féministe a choisi d’explorer le champ de la parole comme voie d’émancipation, enjeux de pouvoir et marqueur de race et de genre.",2022-04-01 12:30:04 +0200,"Dans la revue « La Déferlante », les femmes à voix haute"
POLITIQUE,"« Fragments de campagne ». A une semaine de l’élection présidentielle, de nombreux sujets sont peu abordés par les candidats. Parmi ceux-là, la place des seniors dans notre société aujourd’hui et demain.",2022-04-01 12:36:51 +0200,"Retraite, dépendance, emploi des seniors : « Le Monde » a consacré une journée spéciale à la place des seniors dans notre société avant l’élection présidentielle"
POLITIQUE,"L’ancien organisateur de la primaire de la droite en 2016 est désormais une des pièces maîtresses du chef de l’Etat en vue de sa réélection. Conseiller de l’ombre, doté d’un CV riche en mises en examen, Thierry Solère s’emploie à recruter à droite pour Emmanuel Macron.",2022-04-01 12:52:32 +0200,"Election présidentielle 2022 : Thierry Solère, le baron noir d’Emmanuel Macron"
POLITIQUE,"L’association des maires des petites villes de France met en avant, dans une tribune au « Monde », quatre priorités pour que les territoires ne soient pas les grands oubliés de l’élection présidentielle, la première est l’accès aux soins et la deuxième, la réindustrialisation.",2022-04-01 13:00:05 +0200,« La crise des “gilets jaunes” est partie des ronds-points des petites villes »
POLITIQUE,"Même scène, mêmes techniques, mêmes secrets : beaucoup d’éléments rapprochent ces deux univers.",2022-04-01 13:30:06 +0200,Cinéma et politique : deux genres plus proches qu’il n’y paraît
POLITIQUE,"Ghislaine, Roger et Madeleine ont trouvé auprès de Maria Subota « santé, sécurité et bien-être ». Si les accueillants familiaux agréés sont une des solutions au défi posé par le grand âge, cet accueil personnalisé ne peut répondre à certaines pathologies.",2022-04-01 14:00:06 +0200,"Vieillir auprès d’un accueillant familial, une alternative possible à l’Ehpad"
POLITIQUE,"Alors que la candidate du RN est donnée deuxième dans les sondages, Anne Hidalgo et LFI dénoncent la responsabilité du président sortant et de sa politique. Pour convaincre les électeurs, Jean Castex fait valoir que Marine Le Pen n’a pas changé.",2022-04-01 14:01:15 +0200,"Présidentielle 2022 : la gauche estime qu’Emmanuel Macron est responsable de la montée de l’extrême droite, l’exécutif continue de cibler Marine Le Pen"
POLITIQUE,Le tribunal administratif a rejeté le principal dispositif imaginé par la Mairie pour que ses agents travaillent moins de trente-cinq heures par semaine. La décision est définitive.,2022-04-01 16:50:53 +0200,Anne Hidalgo perd son combat sur le temps de travail à Paris
POLITIQUE,"Dans la capitale alsacienne, la majorité plurielle qui a conduit à l’élection de la maire écologiste Jeanne Barseghian en 2020 s’est fortement désunie depuis.",2022-04-29 10:34:46 +0200,"Législatives 2022 : à Strasbourg, les divisions municipales compliquent le front de gauche"
POLITIQUE,"A l’issue d’une réunion qui s’est tenue vendredi matin, le PS a finalement suspendu les négociations avec LFI après avoir communiqué sur un rapprochement.",2022-04-29 10:56:23 +0200,"Elections législatives 2022 : EELV évoque « un accord en vue » avec La France insoumise pour les législatives, les négociations avec le PS suspendues"
POLITIQUE,"La délégation du Parti socialiste a « suspendu », vendredi à la mi-journée, les négociations avec les « insoumis » en vue d’un accord aux législatives, demandant la « garantie » que le mouvement de Jean-Luc Mélenchon « rompe avec toute logique hégémonique ».",2022-04-29 15:30:05 +0200,"Le Parti socialiste suspend les négociations avec La France insoumise, des discussions en cours avec EELV et le NPA : retrouvez l’actualité politique du vendredi 29 avril"
POLITIQUE,"Le président réélu a profité d’un déplacement dans les Hautes-Pyrénées, vendredi, pour louer Jean Castex, « un premier ministre exceptionnel », tandis qu’EELV évoque « un accord en vue » avec les « insoumis » pour les législatives.",2022-04-29 19:00:17 +0200,"Emmanuel Macron continue de « préparer la suite » dans les Pyrénées, le PS suspend les discussions avec LFI… Les infos politiques du jour"
POLITIQUE,"Le pays d’Asie a su capter les imaginaires juvéniles pour souder une nation, avant de partir à la conquête du Japon, puis de l’Asie et enfin du monde, avec pour bras armés les séries télé et la musique pop, observe, dans sa chronique, Michel Guerrin, rédacteur en chef au « Monde ».",2022-04-30 01:37:36 +0200,"« La Corée du Sud, en ciblant la jeunesse, bouleverse la pop culture mondiale depuis vingt ans »"
POLITIQUE,"Pour faire de la France une « grande nation écologique », comme s’y est engagé Emmanuel Macron, le nouveau gouvernement va devoir très rapidement accélérer plusieurs fronts.",2022-04-30 03:58:48 +0200,"Climat, énergie, biodiversité : les chantiers prioritaires du quinquennat"
POLITIQUE,"Face aux urgences géopolitiques et aux tensions internes du pays, le chef de l’Etat assume une « phase de décantation » avant la nomination du nouveau gouvernement et tout en avançant sur sa grande réforme, celle des retraites.",2022-04-30 04:30:50 +0200,"Depuis les Hautes-Pyrénées, Emmanuel Macron tente de suspendre le temps politique"
