category,description,date,title
CINEMA,La cinéaste russe raconte les conditions de tournage particulières de son deuxième long-métrage.,2022-02-23 13:15:05 +0100,"Kira Kovalenko, réalisatrice des « Poings desserrés » : « Dans le Caucase, beaucoup de femmes n’ont pas leur mot à dire »"
CINEMA,Le nouveau film du grand cinéaste arménien montre la faiblesse de l’homme face aux désastres climatiques.,2022-02-23 13:30:05 +0100,« La Nature » : la possibilité du chaos selon Artavazd Pelechian
CINEMA,"Pour son premier long métrage, Jérémie Elkaïm adapte « Calais mon amour », roman autobiographique sur la rencontre entre une veuve et un migrant iranien.",2022-02-23 13:45:11 +0100,« Ils sont vivants » : la dynamique des corps empêchés
CINEMA,"Sélectionné à la Quinzaine des réalisateurs, ce western pirate révèle le talent de conteurs d’Alessio Rigo de Righi et de Matteo Zoppis.",2022-02-23 13:45:16 +0100,« La Légende du roi crabe » : un fabuleux panier à fictions
CINEMA,"En transposant à l’écran la bande dessinée à succès de Fabcaro, le réalisateur François Desagnat signe une comédie qui peine à trouver sa propre folie.",2022-02-23 14:00:05 +0100,« Zaï Zaï Zaï Zaï » : une adaptation un peu trop fidèle
CINEMA,"En narrant son conte moderne, où se croisent mauvais sort et rencontre impossible, Alexandre Koberidze signe un pacte magique avec le spectateur.",2022-02-23 14:00:10 +0100,« Sous le ciel de Koutaïssi » : les petits riens de l’amour suspendu
CINEMA,"Le film de Maria de Medeiros séduit par la force de son scénario, reliant les années de dictature à l’époque contemporaine.",2022-02-23 14:15:07 +0100,« A nos enfants » : un mélo tragique et léger dans le Brésil de Bolsonaro
CINEMA,"La grand-messe du cinéma français qui se tient vendredi célèbre l’actrice australienne, récompensée pour l’ensemble de sa carrière.",2022-02-25 01:08:21 +0100,"Aux Césars, Cate Blanchett sous toutes ses facettes"
CINEMA,Valérie Lemercier a été sacrée meilleure actrice pour son rôle dans « Aline » et Benoît Magimel meilleur acteur pour son rôle dans « De son vivant ». Le prix de la meilleure réalisation a été attribuée à Leos Carax pour « Annette ».,2022-02-25 17:10:53 +0100,César 2022 : suivez en direct la cérémonie
CINEMA,"Laetitia Ivanez, créatrice de la marque de mode Les Prairies de Paris, a demandé au vidéaste Noé Grenier de créer une vidéo à partir de l’œuvre du réalisateur. Chaque nuit, « Extérieur Nuit » défile en boucle sur la vitrine de sa boutique du 6e arrondissement.",2022-02-25 19:30:06 +0100,Jacques Demy remixé dans un film sur rue
CINEMA,"« Annette », le film de Leos Carax, remporte de son côté cinq récompenses, dont celle de la meilleure réalisation, au terme de cette cérémonie marquée par les hommages à Gaspard Ulliel et Jean-Paul Belmondo.",2022-02-26 02:21:09 +0100,César 2022 : retrouvez le palmarès
CINEMA,"La réalisatrice et actrice de 57 ans trace depuis trois décennies son sillon singulier au cœur du septième art hexagonal. Son mélange de force, de fantaisie et de fragilité explose à l’écran dans « Viens je t’emmène », d’Alain Guiraudie, en salle le 2 mars.",2022-02-26 03:00:10 +0100,"Noémie Lvovsky, tout jeu, tout flamme"
CINEMA,"La 47e cérémonie a récompensé le film de Xavier Giannoli, comme l’avait pronostiqué le sondage des patrons de salles.",2022-02-26 09:45:46 +0100,César 2022 : le triomphe d’« Illusions perdues »
CINEMA,"Confiant sur un rebond de l’industrie du film après la pandémie de Covid-19, le patron de la MPA se déclare « agnostique vis-à-vis des écrans », les films ayant leur place au cinéma autant que sur les plates-formes.",2022-02-27 10:00:07 +0100,"Charles Rivkin, président de la Motion Picture Association : « Le public revient au cinéma »"
CINEMA,"Tourné par le photographe Bert Stern au festival de jazz de Newport en 1958, le film est réédité en Blu-ray.",2022-02-27 16:00:12 +0100,"DVD : « Jazz on a Summer’s Day », l’ancêtre séduisant de tous les films de concert"
CINEMA,"L’acteur est à l’affiche des « Promesses », avec Isabelle Huppert, un long-métrage qui explore les ressorts de la politique, en pleine campagne présidentielle. Sans se targuer d’être un spécialiste, il évoque volontiers son rapport au vin, fait de souvenirs et de coups de cœur.",2022-02-27 19:00:15 +0100,"Reda Kateb : « Le vin est comme un océan et moi, je reste dans un petit coin en baignade surveillée »"
CINEMA,"Auteur du très remarqué « Eureka », en 2000, ce réalisateur hétérodoxe, qui fit partie de la nouvelle génération nippone indépendante des années 1960, est mort le 21 mars, à l’âge de 57 ans, à Tokyo.",2022-03-28 14:27:16 +0200,Mort du cinéaste japonais Shinji Aoyama
CINEMA,"Avec 340 films agréés par le Centre national du cinéma et de l’image animée en 2021, contre 237 en 2020, le nombre de longs-métrages produits est reparti à la hausse en France, et se caractérise par un très haut niveau d’investissements.",2022-03-28 17:55:23 +0200,L’année 2021 signe la reprise de la production cinématographique en France
CINEMA,"L’Académie des Oscars a condamné, lundi, l’incident et annoncé avoir ouvert une « enquête », après que l’acteur a frappé l’humoriste qui avait fait une blague sur sa femme.",2022-03-29 02:13:46 +0200,Will Smith présente ses excuses à Chris Rock pour l’avoir giflé en direct lors de la cérémonie des Oscars
CINEMA,"Depuis leur expulsion le 1er mars, les cinéphiles militants qui occupaient la dernière salle associative de la capitale cherchent des fonds pour acheter les murs.",2022-03-29 09:31:56 +0200,"A Paris, les rebelles de La Clef espèrent plus que jamais s’offrir leur cinéma"
CINEMA,"Chaque mercredi, les journalistes de la rubrique cinéma du « Monde » proposent aux lecteurs de « La Matinale » leurs critiques des films à découvrir en salle.",2022-03-30 00:05:03 +0200,"« Retour à Reims (Fragments) », « Le Grand Mouvement », « En corps »… Les films à l’affiche cette semaine"
CINEMA,Joe Wright parvient à insuffler de la vie et de la réflexion à cette reprise de la pièce d’Edmond Rostand en comédie musicale.,2022-03-30 12:15:03 +0200,"« Cyrano » : Avec un gros nez ou une petite taille, chacun rêve d’un amour outre mesure"
